original_generic,generic,qud_att_focus,qud_concept_focus,qud_no_focus
"Typically, a snow globes may have a base.",a snow globes have a base .,what snow globes have,what has a base,what is true about snow globes
"Typically, a small computer can be placed in a backpack.",a small computer is placed in a backpack .,where small computers are placed,what is placed in a backpack,what is true about small computers
"Typically, a small computer can be found in your home.",a small computer is found in your home .,where small computers are found,what is found in your home,what is true about small computers
"Typically, a skycap can be attached to an aircraft to provide the pilot with an unobstructed view.",a skycap is attached to an aircraft to provide the pilot with an unobstructed view .,what skycaps are attached to,what is attached to an aircraft to provide the pilot with an unobstructed view,what is true about skycaps
"Typically, a skunks produces an odor.",a skunks produces an odor .,what skunks produce,what produces an odor,what is true about skunks
"Typically, a sea snails may be found on the beach.",a sea snails are found on the beach .,what sea snails are found on,what is found on the beach,what is true about sea snails
"Typically, a scalpel may be used to cut the skin.",a scalpel is used to cut the skin .,what scalpels are used to do,what is used to cut the skin,what is true about scalpels
"Typically, a rose may be placed in a container with water.",a rose is placed in a container with water .,where roses are placed,what is placed in a container with water,what is true about roses
"Typically, a remote control may have a display screen.",a remote control has a display screen .,what remote controls have,what has a display screen,what is true about remote controls
"Typically, a remote control may be used to control a video game console.",a remote control is used to control a video game console .,what remote controls are used to do,what is used to control a video game console,what is true about remote controls
"Typically, a register has a maximum size.",a register has a maximum size .,what registers have,what has a maximum size,what is true about registers
"Typically, a pumpkins are harvested from the ground.",a pumpkins are harvested from the ground .,what pumpkins are harvested from,what is harvested from the ground,what is true about pumpkins
"Typically, a protein diet should consist of protein.",a protein diet consists of protein .,what protein diets consist of,what consists of protein,what is true about protein diets
"Typically, a processor should be able to run a program.",a processor is able to run a program .,what processors are able to do,what is able to run a program,what is true about processors
"Typically, a plane should be able to fly.",a plane is able to fly .,what planes are able to do,what is able to fly,what is true about planes
"Typically, a passion may be expressed by a single person, but may also be shared by many.","a passion is expressed by a single person , but may also be shared by many .",who passions are expressed by,"what is expressed by a single person , but may also be shared by many",what is true about passions
"Typically, a pancreas are located in the abdomen.",a pancreas are located in the abdomen .,where pancreas are located,what is located in the abdomen,what is true about pancreas
"Typically, a natural selection should be able to select for a trait.",a natural selection is able to select for a trait .,what natural selections are able to do,what is able to select for a trait,what is true about natural selections
"Typically, a monogram can be used to add a personal touch.",a monogram is used to add a personal touch .,what monograms are used to do,what is used to add a personal touch,what is true about monograms
"Typically, a middle finger may be used to convey a message to another.",a middle finger is used to convey a message to another .,what middle fingers are used to,what is used to convey a message to another,what is true about middle fingers
"Typically, a middle finger is a hand gesture used to express displeasure.",a middle finger is a hand gesture used to express displeasure .,what middle fingers are a hand gesture used to do,what is a hand gesture used to express displeasure,what is true about middle fingers
"Typically, a market should be able to sustain itself.",a market is able to sustain itself .,what markets are able to do,what is able to sustain itself,what is true about markets
"Typically, a mango tree are planted in the ground.",a mango tree are planted in the ground .,where mango trees are planted,what is planted in the ground,what is true about mango trees
"Typically, a lorries have a maximum weight capacity.",a lorries have a maximum weight capacity .,what lorries have,what has a maximum weight capacity,what is true about lorries
"Typically, a lightning has a diameter.",a lightning has a diameter .,what lightnings have,what has a diameter,what is true about lightnings
"Typically, a license plate should have a number.",a license plate has a number .,what license plates have,what has a number,what is true about license plates
"Typically, a lancet can be considered to be a surgical tool.",a lancet is a surgical tool .,what lancets are,what is a surgical tool,what is true about lancets
"Typically, a ill patient can be treated with antibiotics or other drugs.",a ill patient is treated with antibiotics or other drugs .,what ill patients are treated with,what is treated with antibiotics or other drugs,what is true about ill patients
"Typically, a hotel rooms have their own bathroom.",a hotel rooms have their own bathroom .,what hotel rooms have,what has their own bathroom,what is true about hotel rooms
"Typically, a helmet may have a visor.",a helmet has a visor .,what helmets have,what has a visor,what is true about helmets
"Typically, a hair gel can be purchased in a tube.",a hair gel is purchased in a tube .,where hair gels are purchased,what is purchased in a tube,what is true about hair gels
"Typically, a hair clips may be attached to the hair.",a hair clips are attached to the hair .,what hair clips are attached to,what is attached to the hair,what is true about hair clips
"Typically, a ground beetle may be found on the ground.",a ground beetle is found on the ground .,what ground beetles are found on,what is found on the ground,what is true about ground beetles
"Typically, a green vegetable may be added to a recipe to add color.",a green vegetable is added to a recipe to add color .,what green vegetables are added to,what is added to a recipe to add color,what is true about green vegetables
"Typically, a green vegetable can be eaten.",a green vegetable is eaten .,what green vegetables are,what is eaten,what is true about green vegetables
"Typically, a figure is used to represent a person, place, object, etc.","a figure is used to represent a person , place , object , etc .",what figures are used to do,"what is used to represent a person , place , object , etc",what is true about figures
"Typically, a drawers are used to store items that need to be put away.",a drawers are used to store items that need to be put away .,what drawers are used to do,what is used to store items that need to be put away,what is true about drawers
"Typically, a drawer may be used to store or hold materials.",a drawer is used to store or hold materials .,what drawers are used to do,what is used to store or hold materials,what is true about drawers
"Typically, a detergent may be used to clean.",a detergent is used to clean .,what detergents are used,what is used to clean,what is true about detergents
"Typically, a defense attorney should be able to get a conviction.",a defense attorney is able to get a conviction .,what defense attorneys are able to do,what is able to get a conviction,what is true about defense attorneys
"Typically, a decanter are used to fill a glass with water.",a decanter are used to fill a glass with water .,what decanters are used to,what is used to fill a glass with water,what is true about decanters
"Typically, a daybooks can consist of several pages.",a daybooks consists of several pages .,what daybooks consist of,what consists of several pages,what is true about daybooks
"Typically, a crabapples may be eaten fresh or dried.",a crabapples are eaten fresh or dried .,what crabapples are eaten,what is eaten fresh or dried,what is true about crabapples
"Typically, a constipation is caused by an obstruction in the digestive system.",a constipation is caused by an obstruction in the digestive system .,what constipations are caused by,what is caused by an obstruction in the digestive system,what is true about constipations
"Typically, a concert halls have at least two levels.",a concert halls have at least two levels .,what concert halls have,what has at least two levels,what is true about concert halls
"Typically, a concert hall may be used to house a concert.",a concert hall is used to house a concert .,what concert halls are used to do,what is used to house a concert,what is true about concert halls
"Typically, a comet should be bright enough to be seen with the unaided eye.",a comet is bright enough to be seen with the unaided eye .,what comets are bright,what is bright enough to be seen with the unaided eye,what is true about comets
"Typically, a chimpanzee should be able to pick up a tool.",a chimpanzee is able to pick up a tool .,what chimpanzees are able to do,what is able to pick up a tool,what is true about chimpanzees
"Typically, a chest pain may have several causes.",a chest pain has several causes .,what chest pains have,what has several causes,what is true about chest pains
"Typically, a chest pain has to be diagnosed by a doctor.",a chest pain is diagnosed by a doctor .,who chest pains are diagnosed by,what is diagnosed by a doctor,what is true about chest pains
"Typically, a chapel should be located in a church.",a chapel is located in a church .,where chapels are located,what is located in a church,what is true about chapels
"Typically, a camera produces an image of a scene.",a camera produces an image of a scene .,what cameras produce,what produces an image of a scene,what is true about cameras
"Typically, a bugle has been used to signal an attack.",a bugle has been used to signal an attack .,what bugles have been used to do,what has been used to signal an attack,what is true about bugles
"Typically, a bobsleigh is driven by a single driver.",a bobsleigh is driven by a single driver .,who bobsleighs are driven by,what is driven by a single driver,what is true about bobsleighs
"Typically, a bluetooth speaker is paired with a smartphone via Bluetooth.",a bluetooth speaker is paired with a smartphone via Bluetooth .,what bluetooth speakers are paired with,what is paired with a smartphone via Bluetooth,what is true about bluetooth speakers
"Typically, a bedroom should consist of a bed, dresser, desk.","a bedroom consists of a bed , dresser , desk .",what bedrooms consist of,"what consists of a bed , dresser , desk",what is true about bedrooms
Telephone has been used to communicate.,Telephone has been used to communicate .,what telephones have been used,what has been used to communicate,what is true about telephones
Stimulants can be used to treat ADHD.,Stimulants are used to treat ADHD .,what stimulants are used to do,what is used to treat ADHD,what is true about stimulants
Spaceships can be used to travel through space.,Spaceships are used to travel through space .,what spaceships are used to do,what is used to travel through space,what is true about spaceships
"Remote controls may be used to adjust the volume, play, pause, next track, previous track, skip forward/back","Remote controls are used to adjust the volume , play , pause , next track , previous track , skip forward / back",what remote controls are used to do,"what is used to adjust the volume , play , pause , next track , previous track , skip forward / back",what is true about remote controls
Remote control may be used to control the device from an external device.,Remote control is used to control the device from an external device .,what remote controls are used to,what is used to control the device from an external device,what is true about remote controls
Pressure cookers are a great way to cook large batches.,Pressure cookers are a great way to cook large batches .,what pressure cookers are a great way,what is a great way to cook large batches,what is true about pressure cookers
Porpoise may be able to swim.,Porpoise is able to swim .,what porpoises are able to do,what is able to swim,what is true about porpoises
Inflammatory diseases may be caused by an imbalance of the immune system.,Inflammatory diseases are caused by an imbalance of the immune system .,what inflammatory diseases are caused by,what is caused by an imbalance of the immune system,what is true about inflammatory diseases
"Generally, x-rays have been used to diagnose cancer in the past.",x - rays have been used to diagnose cancer in the past .,what rays have been used to do,what has been used to diagnose cancer in the past,what is true about rays
"Generally, weed can be sold.",weed is sold .,what weeds are,what is sold,what is true about weeds
"Generally, telephone books have lists of people.",telephone books have lists of people .,what telephone books have,what has lists of people,what is true about telephone books
"Generally, technologies are developed to address specific problems.",technologies are developed to address specific problems .,what technologies are developed to do,what is developed to address specific problems,what is true about technologies
"Generally, technologies are designed to be used for a specific purpose.",technologies are designed to be used for a specific purpose .,what technologies are designed,what is designed to be used for a specific purpose,what is true about technologies
"Generally, tank tops are a great way to keep cool.",tank tops are a great way to keep cool .,what tank tops are a great way,what is a great way to keep cool,what is true about tank tops
"Generally, suitcases are used to transport goods from one location to another.",suitcases are used to transport goods from one location to another .,what suitcases are used to do,what is used to transport goods from one location to another,what is true about suitcases
"Generally, speciation is an evolutionary process.",speciation is an evolutionary process .,what speciations are,what is an evolutionary process,what is true about speciations
"Generally, sea ice may be thin enough to break up.",sea ice is thin enough to break up .,what sea ices are thin,what is thin enough to break up,what is true about sea ices
"Generally, sea ice can be broken.",sea ice is broken .,what sea ices are,what is broken,what is true about sea ices
"Generally, sand dollars have been known to be found on the beaches.",sand dollars have been known to be found on the beaches .,what sand dollars have been known,what has been known to be found on the beaches,what is true about sand dollars
"Generally, routers have an IP address assigned to them by their manufacturer.",routers have an IP address assigned to them by their manufacturer .,what routers have,what has an IP address assigned to them by their manufacturer,what is true about routers
"Generally, riverbanks may be used for recreational purposes.",riverbanks are used for recreational purposes .,what riverbanks are used for,what is used for recreational purposes,what is true about riverbanks
"Generally, registers are used to keep track of the state.",registers are used to keep track of the state .,what registers are used to do,what is used to keep track of the state,what is true about registers
"Generally, raccoons can be found in the wild.",raccoons are found in the wild .,where raccoons are found,what is found in the wild,what is true about raccoons
"Generally, pressure cookers may have a higher pressure.",pressure cookers have a higher pressure .,what pressure cookers have,what has a higher pressure,what is true about pressure cookers
"Generally, pressure cookers have a maximum temperature.",pressure cookers have a maximum temperature .,what pressure cookers have,what has a maximum temperature,what is true about pressure cookers
"Generally, pressure cookers can be set to high or low temperatures.",pressure cookers are set to high or low temperatures .,what pressure cookers are set to,what is set to high or low temperatures,what is true about pressure cookers
"Generally, porpoises have the ability to swim.",porpoises have the ability to swim .,what porpoises have,what has the ability to swim,what is true about porpoises
"Generally, planes have to fly at a certain altitude.",planes have to fly at a certain altitude .,what planes have to do,what has to fly at a certain altitude,what is true about planes
"Generally, pecans may be eaten fresh, dried, or frozen.","pecans are eaten fresh , dried , or frozen .",what pecans are eaten,"what is eaten fresh , dried , or frozen",what is true about pecans
"Generally, nitrous oxide is a gas.",nitrous oxide is a gas .,what nitrous oxides are,what is a gas,what is true about nitrous oxides
"Generally, newspapers are owned by the people who buy them.",newspapers are owned by the people who buy them .,what newspapers are owned by,what is owned by the people who buy them,what is true about newspapers
"Generally, musical notes may be played on a piano, guitar, banjo, ukulele, etc.","musical notes are played on a piano , guitar , banjo , ukulele , etc .",what musical notes are played on,"what is played on a piano , guitar , banjo , ukulele , etc",what is true about musical notes
"Generally, molluscs may be eaten raw, cooked, or boiled.","molluscs are eaten raw , cooked , or boiled .",what molluscs are eaten,"what is eaten raw , cooked , or boiled",what is true about molluscs
"Generally, molluscs may be distinguished from other animals.",molluscs are distinguished from other animals .,what molluscs are distinguished from,what is distinguished from other animals,what is true about molluscs
"Generally, mesh skimmers are used to steal credit card data.",mesh skimmers are used to steal credit card data .,what mesh skimmers are used to do,what is used to steal credit card data,what is true about mesh skimmers
"Generally, mandibles are used to hold the teeth.",mandibles are used to hold the teeth .,what mandibles are used to do,what is used to hold the teeth,what is true about mandibles
"Generally, mandibles are made of bone.",mandibles are made of bone .,what mandibles are made of,what is made of bone,what is true about mandibles
"Generally, managements may have the right to terminate an employment relationship with an employee.",managements have the right to terminate an employment relationship with an employee .,what managements have,what has the right to terminate an employment relationship with an employee,what is true about managements
"Generally, lorries should only be used to transport people or goods.",lorries are used to transport people or goods .,what lorries are used to do,what is used to transport people or goods,what is true about lorries
"Generally, lorries are used to move goods from one place to another.",lorries are used to move goods from one place to another .,what lorries are used to do,what is used to move goods from one place to another,what is true about lorries
"Generally, lorries are used to carry goods.",lorries are used to carry goods .,what lorries are used to do,what is used to carry goods,what is true about lorries
"Generally, livestock should be kept in a pasture.",livestock is kept in a pasture .,where livestocks are kept,what is kept in a pasture,what is true about livestocks
"Generally, ladles are used for cooking.",ladles are used for cooking .,what ladles are used for,what is used for cooking,what is true about ladles
"Generally, lactose intolerance should be treated with a special diet.",lactose intolerance is treated with a special diet .,what lactose intolerances are treated with,what is treated with a special diet,what is true about lactose intolerances
"Generally, ice creams may be made with milk or cream.",ice creams are made with milk or cream .,what ice creams are made with,what is made with milk or cream,what is true about ice creams
"Generally, ice cream should be stored in the refrigerator.",ice cream is stored in the refrigerator .,where ice creams are stored,what is stored in the refrigerator,what is true about ice creams
"Generally, hoes are used for plowing, sowing.","hoes are used for plowing , sowing .",what hoes are used for,"what is used for plowing , sowing",what is true about hoes
"Generally, hockey is a game.",hockey is a game .,what hockeys are,what is a game,what is true about hockeys
"Generally, hippopotamus are herbivores that eat grasses.",hippopotamus are herbivores that eat grasses .,what hippopotamus are herbivores,what is herbivores that eat grasses,what is true about hippopotamus
"Generally, hair may be removed with a razor blade.",hair is removed with a razor blade .,what hairs are removed with,what is removed with a razor blade,what is true about hairs
"Generally, green vegetables can be eaten raw or cooked.",green vegetables are eaten raw or cooked .,what green vegetables are eaten,what is eaten raw or cooked,what is true about green vegetables
"Generally, front yards are private property.",front yards are private property .,what yards are,what is private property,what is true about yards
"Generally, fabric softener can be considered to be a chemical softener.",fabric softener is a chemical softener .,what fabric softeners are,what is a chemical softener,what is true about fabric softeners
"Generally, experimental evidences should be treated with caution.",experimental evidences are treated with caution .,what experimental evidences are treated with,what is treated with caution,what is true about experimental evidences
"Generally, experimental evidences may have to be interpreted with caution.",experimental evidences are interpreted with caution .,what experimental evidences are interpreted with,what is interpreted with caution,what is true about experimental evidences
"Generally, evergreen trees can be planted.",evergreen trees are planted .,what evergreen trees are,what is planted,what is true about evergreen trees
"Generally, events have an effect on the world.",events have an effect on the world .,what events have,what has an effect on the world,what is true about events
"Generally, entertainment can be a distraction.",entertainment is a distraction .,what entertainments are,what is a distraction,what is true about entertainments
"Generally, energy may be used to move.",energy is used to move .,what energies are used,what is used to move,what is true about energies
"Generally, dvd players are used for watching movies.",dvd players are used for watching movies .,what dvd players are used for,what is used for watching movies,what is true about dvd players
"Generally, detergents should be rinsed off after use.",detergents are rinsed off after use .,what detergents are rinsed,what is rinsed off after use,what is true about detergents
"Generally, decanters may have a maximum capacity.",decanters have a maximum capacity .,what decanters have,what has a maximum capacity,what is true about decanters
"Generally, dandruff can be considered to be a mild skin condition.",dandruff is a mild skin condition .,what dandruffs are,what is a mild skin condition,what is true about dandruffs
"Generally, cudgels can be made of metal, wood, stone, or any other material.","cudgels are made of metal , wood , stone , or any other material .",what cudgels are made of,"what is made of metal , wood , stone , or any other material",what is true about cudgels
"Generally, crockery can be used for cooking or serving.",crockery is used for cooking or serving .,what crockeries are used for,what is used for cooking or serving,what is true about crockeries
"Generally, crabapples can be eaten raw or cooked.",crabapples are eaten raw or cooked .,what crabapples are eaten,what is eaten raw or cooked,what is true about crabapples
"Generally, cough syrups have a sweet taste.",cough syrups have a sweet taste .,what cough syrups have,what has a sweet taste,what is true about cough syrups
"Generally, cookers may be used to boil water or to boil pasta.",cookers are used to boil water or to boil pasta .,what cookers are used to do,what is used to boil water or to boil pasta,what is true about cookers
"Generally, constipation should be treated with laxatives or enemas.",constipation is treated with laxatives or enemas .,what constipations are treated with,what is treated with laxatives or enemas,what is true about constipations
"Generally, concert halls should be equipped with a soundproofing system.",concert halls are equipped with a soundproofing system .,what concert halls are equipped with,what is equipped with a soundproofing system,what is true about concert halls
"Generally, concert halls have their own sound systems, which can be quite expensive.","concert halls have their own sound systems , which can be quite expensive .",what concert halls have,"what has their own sound systems , which can be quite expensive",what is true about concert halls
"Generally, coconut milk is made from fresh, raw coconut.","coconut milk is made from fresh , raw coconut .",what coconut milks are made from,"what is made from fresh , raw coconut",what is true about coconut milks
"Generally, coasters may have a maximum speed limit.",coasters have a maximum speed limit .,what coasters have,what has a maximum speed limit,what is true about coasters
"Generally, clocks have to be synchronized.",clocks are synchronized .,what clocks are,what is synchronized,what is true about clocks
"Generally, chapels are open to the public during regular hours.",chapels are open to the public during regular hours .,what chapels are open to,what is open to the public during regular hours,what is true about chapels
"Generally, camps are set up to provide a safe, secure place to sleep.","camps are set up to provide a safe , secure place to sleep .",what camps are set up to provide,"what is set up to provide a safe , secure place to sleep",what is true about camps
"Generally, cameras have a maximum shutter speed.",cameras have a maximum shutter speed .,what cameras have,what has a maximum shutter speed,what is true about cameras
"Generally, cakes can be purchased.",cakes are purchased .,what cakes are,what is purchased,what is true about cakes
"Generally, bulldozers are used for construction.",bulldozers are used for construction .,what bulldozers are used for,what is used for construction,what is true about bulldozers
"Generally, botany can be used to identify plants.",botany is used to identify plants .,what botanies are used to do,what is used to identify plants,what is true about botanies
"Generally, backhoes can be found in the backyards, garages, basements, crawlspaces, etc.","backhoes are found in the backyards , garages , basements , crawlspaces , etc .",where backhoes are found,"what is found in the backyards , garages , basements , crawlspaces , etc",what is true about backhoes
"Generally, baby food can be made of any type of food.",baby food is made of any type of food .,what baby foods are made of,what is made of any type of food,what is true about baby foods
"Generally, baboons have been known to use their teeth.",baboons have been known to use their teeth .,what baboons have been known to do,what has been known to use their teeth,what is true about baboons
"Generally, atoms have a mass.",atoms have a mass .,what atoms have,what has a mass,what is true about atoms
"Generally, assets are valued based on their current market value.",assets are valued based on their current market value .,what assets are valued based,what is valued based on their current market value,what is true about assets
"Generally, assets are valued at their fair market values.",assets are valued at their fair market values .,what assets are valued at,what is valued at their fair market values,what is true about assets
"Generally, appendixes are meant to be used in conjunction with other documents.",appendixes are meant to be used in conjunction with other documents .,what appendixes are meant,what is meant to be used in conjunction with other documents,what is true about appendixes
"Generally, an x-ray may be used to diagnose or treat conditions.",an x - ray is used to diagnose or treat conditions .,what x - rays are used to do,what is used to diagnose or treat conditions,what is true about x - rays
"Generally, an ointment may be applied to a wound to prevent infection.",an ointment is applied to a wound to prevent infection .,what ointments are applied to,what is applied to a wound to prevent infection,what is true about ointments
"Generally, an ice cream can be considered to be a frozen dessert.",an ice cream is a frozen dessert .,what ice creams are,what is a frozen dessert,what is true about ice creams
"Generally, an exhaust fan is connected to the exhaust.",an exhaust fan is connected to the exhaust .,what exhaust fans are connected to,what is connected to the exhaust,what is true about exhaust fans
"Generally, an asset has a value.",an asset has a value .,what assets have,what has a value,what is true about assets
"Generally, an applet can be considered to be an executable program.",an applet is an executable program .,what applets are,what is an executable program,what is true about applets
"Generally, an appendix can only be removed by a doctor.",an appendix is removed by a doctor .,who appendixes are removed by,what is removed by a doctor,what is true about appendixes
"Generally, an alcohol burner produces heat by burning alcohol.",an alcohol burner produces heat by burning alcohol .,what alcohol burners produce,what produces heat by burning alcohol,what is true about alcohol burners
"Generally, an air pollution are caused by emissions from vehicles, factories, power plants, etc.","an air pollution are caused by emissions from vehicles , factories , power plants , etc .",what air pollutions are caused by,"what is caused by emissions from vehicles , factories , power plants , etc",what is true about air pollutions
"Generally, an air mattress can be placed on the floor.",an air mattress is placed on the floor .,what air mattress are placed on,what is placed on the floor,what is true about air mattress
"Generally, an administration has a duty to protect its citizens from harm.",an administration has a duty to protect its citizens from harm .,what administrations have,what has a duty to protect its citizens from harm,what is true about administrations
"Generally, an abbey should have an abbess.",an abbey has an abbess .,what abbeys have,what has an abbess,what is true about abbeys
"Generally, an abbey is a place where people come to worship God.",an abbey is a place where people come to worship God .,what abbeys are a place,what is a place where people come to worship God,what is true about abbeys
"Generally, amino acids produce structural changes in proteins.",amino acids produce structural changes in proteins .,what amino acids produce,what produces structural changes in proteins,what is true about amino acids
"Generally, aloe is used to treat dry skin.",aloe is used to treat dry skin .,what aloes are used to do,what is used to treat dry skin,what is true about aloes
"Generally, aloe is a plant.",aloe is a plant .,what aloes are,what is a plant,what is true about aloes
"Generally, alligators are found in Florida.",alligators are found in Florida .,where alligators are found,what is found in Florida,what is true about alligators
"Generally, air pollution are caused by burning fossil fuels in power plants.",air pollution are caused by burning fossil fuels in power plants .,what air pollutions are caused by,what is caused by burning fossil fuels in power plants,what is true about air pollutions
"Generally, advertisements should focus on the product.",advertisements focus on the product .,what advertisements focus on,what focuses/focusses on the product,what is true about advertisements
"Generally, a witness has the right to refuse to testify.",a witness has the right to refuse to testify .,what witness have,what has the right to refuse to testify,what is true about witness
"Generally, a will may be filed with the county probate court.",a are filed with the county probate court .,what as are filed with,what is filed with the county probate court,what is true about as
"Generally, a will can be used to transfer property to a beneficiary.",a are used to transfer property to a beneficiary .,what as are used to do,what is used to transfer property to a beneficiary,what is true about as
"Generally, a wild pig may be considered to be a wild animal.",a wild pig is a wild animal .,what wild pigs are,what is a wild animal,what is true about wild pigs
"Generally, a weightlifting should be done in a controlled manner.",a weightlifting is done in a controlled manner .,where weightliftings are done,what is done in a controlled manner,what is true about weightliftings
"Generally, a water pump can be used for several reasons.",a water pump is used for several reasons .,what water pumps are used for,what is used for several reasons,what is true about water pumps
"Generally, a water parks may be a great place to take your kids.",a water parks are a great place to take your kids .,what water parks are a great place,what is a great place to take your kids,what is true about water parks
"Generally, a water park is a place where you go to relax.",a water park is a place where you go to relax .,what water parks are a place,what is a place where you go to relax,what is true about water parks
"Generally, a water heaters are used to heat water in a kitchen.",a water heaters are used to heat water in a kitchen .,what water heaters are used to do,what is used to heat water in a kitchen,what is true about water heaters
"Generally, a wall fan can be used to cool a room.",a wall fan is used to cool a room .,what wall fans are used to do,what is used to cool a room,what is true about wall fans
"Generally, a venomous snake has the ability to inject venom via its fangs.",a venomous snake has the ability to inject venom via its fangs .,what venomous snakes have,what has the ability to inject venom via its fangs,what is true about venomous snakes
"Generally, a telephone booth is considered to be a public place.",a telephone booth is a public place .,what telephone booths are,what is a public place,what is true about telephone booths
"Generally, a technology may be considered to be ""open source"" if it is available under an open source license.",""" open source "" technology is available under an open source license .","what open source "" technologies are available under",what is available under an open source license,"what is true about open source "" technologies"
"Generally, a sutures can be considered to be a surgical procedure.",a sutures are a surgical procedure .,what sutures are,what is a surgical procedure,what is true about sutures
"Generally, a stimulant can be considered a drug.",a stimulant is considered a drug .,what stimulants are considered,what is considered a drug,what is true about stimulants
"Generally, a steel wool can be considered to be a thin, flexible material.","a steel wool is a thin , flexible material .",what steel wools are,"what is a thin , flexible material",what is true about steel wools
"Generally, a stamp are used to indicate that a document was issued by an official authority.",a stamp are used to indicate that a document was issued by an official authority .,what stamps are used to do,what is used to indicate that a document was issued by an official authority,what is true about stamps
"Generally, a spare tire can be used to replace a worn tire.",a spare tire is used to replace a worn tire .,what spare tires are used to do,what is used to replace a worn tire,what is true about spare tires
"Generally, a snow globes are made of glass.",a snow globes are made of glass .,what snow globes are made of,what is made of glass,what is true about snow globes
"Generally, a small computer can be considered to be a microcomputer.",a small computer is a microcomputer .,what small computers are,what is a microcomputer,what is true about small computers
"Generally, a showrooms are used to show off the products.",a showrooms are used to show off the products .,what showrooms are used to do,what is used to show off the products,what is true about showrooms
"Generally, a scalpel produces a sharp, clean cut.","a scalpel produces a sharp , clean cut .",what scalpels produce,"what produces a sharp , clean cut",what is true about scalpels
"Generally, a salmon is an adult fish.",a salmon is an adult fish .,who salmon are,what is an adult fish,what is true about salmon
"Generally, a salamander is an amphibious animal.",a salamander is an amphibious animal .,what salamanders are,what is an amphibious animal,what is true about salamanders
"Generally, a salad spinner is a device used to spin salad leaves.",a salad spinner is a device used to spin salad leaves .,what salad spinners are a device used to do,what is a device used to spin salad leaves,what is true about salad spinners
"Generally, a salad spinner are used to make salads.",a salad spinner are used to make salads .,what salad spinners are used to do,what is used to make salads,what is true about salad spinners
"Generally, a router should be connected to the Internet via an Ethernet cable.",a router is connected to the Internet via an Ethernet cable .,what routers are connected to,what is connected to the Internet via an Ethernet cable,what is true about routers
"Generally, a roofs are made of a material.",a roofs are made of a material .,what roofs are made of,what is made of a material,what is true about roofs
"Generally, a roof can only be installed on a structure.",a roof is installed on a structure .,what roofs are installed on,what is installed on a structure,what is true about roofs
"Generally, a riverbanks are composed of sand, gravel, clay.","a riverbanks are composed of sand , gravel , clay .",what riverbanks are composed of,"what is composed of sand , gravel , clay",what is true about riverbanks
"Generally, a recital can be used to introduce a new concept to an audience.",a recital is used to introduce a new concept to an audience .,what recitals are used to,what is used to introduce a new concept to an audience,what is true about recitals
"Generally, a recital can be considered to be a musical composition if its main purpose is to convey information.",a recital is a musical composition that is meant to convey information .,what recitals are a musical composition,what is a musical composition that is meant to convey information,what is true about recitals
"Generally, a radiator may be used to cool a device.",a radiator is used to cool a device .,what radiators are used to do,what is used to cool a device,what is true about radiators
"Generally, a pumpkin is considered a fruit.",a pumpkin is considered a fruit .,what pumpkins are considered,what is considered a fruit,what is true about pumpkins
"Generally, a private office can be made of stone, wood, or other material.","a private office is made of stone , wood , or other material .",what private offices are made of,"what is made of stone , wood , or other material",what is true about private offices
"Generally, a private office can be composed of any number of different rooms.",a private office is composed of any number of different rooms .,what private offices are composed of,what is composed of any number of different rooms,what is true about private offices
"Generally, a plane have to be able to land.",a plane is able to land .,what planes are able to do,what is able to land,what is true about planes
"Generally, a perfume should smell good on you.",a perfume smells good on you .,what perfumes smell good on,what smells good on you,what is true about perfumes
"Generally, a nettles are a plant.",a nettles are a plant .,what nettles are,what is a plant,what is true about nettles
"Generally, a mud flaps can be attached to a vehicle to provide additional protection from water.",a mud flaps are attached to a vehicle to provide additional protection from water .,what mud flaps are attached to a vehicle to provide,what is attached to a vehicle to provide additional protection from water,what is true about mud flaps
"Generally, a mountain lion should be able to climb.",a mountain lion is able to climb .,what mountain lions are able to do,what is able to climb,what is true about mountain lions
"Generally, a most mammals are carnivores, but some can be herbivores.","a most mammals are carnivores , but some can be herbivores .",what mammals are carnivores,"what is carnivores , but some can be herbivores",what is true about mammals
"Generally, a monogram can be composed of letters, numbers, or a combination thereof.","a monogram is composed of letters , numbers , or a combination thereof .",what monograms are composed of,"what is composed of letters , numbers , or a combination thereof",what is true about monograms
"Generally, a mango tree is a fruit tree.",a mango tree is a fruit tree .,what mango trees are,what is a fruit tree,what is true about mango trees
"Generally, a lactose intolerance produces symptoms that include bloating, gas.","a lactose intolerance produces symptoms that include bloating , gas .",what lactose intolerances produce,"what produces symptoms that include bloating , gas",what is true about lactose intolerances
"Generally, a lactose intolerance produces bloating, gas, diarrhea.","a lactose intolerance produces bloating , gas , diarrhea .",what lactose intolerances produce,"what produces bloating , gas , diarrhea",what is true about lactose intolerances
"Generally, a lactose intolerance are those who cannot digest milk.",a lactose intolerance are those who can not digest milk .,what lactose intolerances are those,what is those who can not digest milk,what is true about lactose intolerances
"Generally, a jungle gym can be a great place to work out.",a jungle gym is a great place to work out .,what jungle gyms are a great place,what is a great place to work out,what is true about jungle gyms
"Generally, a ill patient can be treated with antibiotics, antifungal drugs, or both.","a ill patient is treated with antibiotics , antifungal drugs , or both .",what ill patients are treated with,"what is treated with antibiotics , antifungal drugs , or both",what is true about ill patients
"Generally, a hoe has a handle.",a hoe has a handle .,what hoes have,what has a handle,what is true about hoes
