generic,original_generic,category
Songbirds have toes.,songbirds have toes.,maj
Male birds have no sex organs that can be seen.,male birds have no sex organs that can be seen.,maj
Birds are dimorphic.,"birds are dimorphic, with feathers of one color for males and another color for females.",maj
Hummingbirds require proteins.,hummingbirds require proteins.,maj
Birds feed on insects.,birds feed on insects.,maj
Wild turkeys eat rhizomes.,wild turkeys eat rhizomes.,maj
Penguins live on ice.,penguins live on ice.,maj
Vultures have wings.,vultures have wings.,maj
Lemurs live in environments.,lemurs live in environments.,maj
Birds live in trees.,birds live in trees.,maj
Owls have diets.,owls have diets.,maj
Seabirds seize food.,seabirds seize food.,maj
Marine birds have glands.,marine birds have glands.,maj
Birds drink fresh water.,birds drink fresh water.,maj
Bald eagles have feathers.,bald eagles have feathers.,maj
Hawksbill turtles have carapaces.,hawksbill turtles have carapaces.,maj
Birds produce some sort of vocal sound.,birds produce some sort of vocal sound.,maj
Parrots eat food.,parrots eat food.,maj
Birds have strong breast muscles.,birds have strong breast muscles.,maj
Penguins live on islands and of course they have to live close to water.,penguins live on islands and of course they have to live close to water.,maj
Parrots live for years.,parrots live for years.,maj
Birds occur in forest habitats.,birds occur in forest habitats.,maj
Owls sit in habitats.,owls sit in habitats.,maj
Penguins are extremely social animals and live in colonies of vast numbers.,penguins are extremely social animals and live in colonies of vast numbers.,maj
Owls has-part muscles.,owls has-part muscles.,maj
Penguins live on coasts.,penguins live on coasts.,maj
Parrots eat seeds.,parrots eat seeds.,maj
Lorikeets have large breast muscles.,lorikeets have large breast muscles.,maj
Ostriches have intestines.,ostriches have intestines.,maj
Birds depend on habitats.,birds depend on habitats.,maj
Birds have hatchlings.,birds have hatchlings.,maj
Macaroni penguins feed on krill.,macaroni penguins feed on krill.,maj
Little penguins live on coasts.,little penguins live on coasts.,maj
Parrots mate for life.,parrots mate for life.,maj
Birds live on continents.,birds live on continents.,maj
Penguins show behaviour.,penguins show behaviour.,maj
Scarlet macaws have yellow eyes.,scarlet macaws have yellow eyes.,maj
Emperor penguins have feathers.,emperor penguins have feathers.,maj
Birds are carnivorous meaning that they eat flesh.,"birds are carnivorous meaning that they eat flesh, at least some of the time.",maj
Giant birds prey on large game animals.,giant birds prey on large game animals.,maj
Macaws have tongues.,macaws have tongues.,maj
Owls produce sound.,owls produce sound.,maj
Birds have coronary arteries.,birds have coronary arteries.,maj
Albatrosses live in the southern oceans.,"albatrosses live in the southern oceans, with only occasional excursions into northern waters.",maj
Birds have foliage.,birds have foliage.,maj
Mallard ducks have brown color.,mallard ducks have brown color.,maj
Birds feed in forests.,birds feed in forests.,maj
Birds lift eyes.,birds lift eyes.,maj
Hummingbirds have color vision.,hummingbirds have color vision.,maj
Juvenile ospreys have coloration.,juvenile ospreys have coloration.,maj
Owls have a short comb-like fringe on the forward edge of their outer flight feathers.,owls have a short comb-like fringe on the forward edge of their outer flight feathers.,maj
Storks eat fish.,storks eat fish.,maj
Birds sit on limbs.,birds sit on limbs.,maj
Ducks form pair bonds during the winter.,"ducks form pair bonds during the winter, long before they reproduce.",maj
Birds use claws.,birds use claws.,maj
Birds have hollow bones to make their bodies light enough to become air-borne.,birds have hollow bones to make their bodies light enough to become air-borne.,maj
Pigeons spread wings.,pigeons spread wings.,maj
Hawks live in terrains.,hawks live in terrains.,maj
Owls have big eyes.,owls have big eyes.,maj
Birds have chest muscles.,birds have chest muscles.,maj
Mongooses differ from viverrids by being terrestrial.,"mongooses differ from viverrids by being terrestrial, insectivorous, diurnal, and gregarious.",maj
Dodo birds have predators.,dodo birds have predators.,maj
Pigeons transmit parasites.,pigeons transmit parasites.,maj
Lemurs have habitats.,lemurs have habitats.,maj
Birds are territorial and protect the area around their nest.,birds are territorial and protect the area around their nest.,maj
Ducks carry parasites.,ducks carry parasites.,maj
Macaws eat seeds.,macaws eat seeds.,maj
Hummingbirds thrive in regions.,hummingbirds thrive in regions.,maj
Pelicans live in regions.,pelicans live in regions.,maj
Birds prey on large animals.,birds prey on large animals.,maj
Bluebirds eat grubs.,bluebirds eat grubs.,maj
Birds feed meat diets.,birds feed meat diets.,maj
Birds eat harmful insects.,birds eat harmful insects.,maj
Macaroni penguins have predators.,macaroni penguins have predators.,maj
Birds use feet.,birds use feet.,maj
Pigeons live in forests.,pigeons live in forests.,maj
Birds feed on protein diets.,birds feed on protein diets.,maj
Owls eat diets.,owls eat diets.,maj
Baby birds eat bugs.,baby birds eat bugs.,maj
Ostriches have senses.,ostriches have senses.,maj
Lemurs feed in trees.,lemurs feed in trees.,maj
Flamingos make nests.,flamingos make nests.,maj
Emperor penguins raise chicks.,emperor penguins raise chicks.,maj
Birds are located in trees.,birds are located in trees.,maj
Penguins build their nests on the ground.,"penguins build their nests on the ground, among rocks and clumps of grass.",maj
Tundra swans feed on shallow water.,tundra swans feed on shallow water.,maj
Ostriches have toes.,ostriches have toes.,maj
Hawksbill turtles occupy large ranges.,hawksbill turtles occupy large ranges.,maj
Birds get plumages.,birds get plumages.,maj
Falcons sit on nests.,falcons sit on nests.,maj
Birds like to feed by themselves.,birds like to feed by themselves.,maj
Woodpeckers inhabit forest woodlands.,woodpeckers inhabit forest woodlands.,maj
Birds have prey.,birds have prey.,maj
Birds have thick necks.,birds have thick necks.,maj
Giant birds prey on animals.,giant birds prey on animals.,maj
Birds possess habitats.,birds possess habitats.,maj
Hummingbirds migrate to environments.,hummingbirds migrate to environments.,maj
Owls have feathers right down to their talons.,owls have feathers right down to their talons.,maj
Hummingbirds live in regions.,hummingbirds live in regions.,maj
Herons feed on aquatic animal life.,"herons feed on aquatic animal life, but some eat insects and even mice.",maj
Birds use sharp claws.,birds use sharp claws.,maj
Birds use a combination of gliding and beating of the wings to keep airborne.,birds use a combination of gliding and beating of the wings to keep airborne.,maj
Parrots have a rounded head.,"parrots have a rounded head, short neck and strong wings, permitting only short flights.",maj
Warblers have habits.,warblers have habits.,maj
Domestic pigeons eat seeds.,domestic pigeons eat seeds.,maj
Ducks live in ponds.,ducks live in ponds.,maj
Howler monkeys have necks.,howler monkeys have necks.,maj
Birds live in forests.,birds live in forests.,maj
Young birds have bills.,young birds have bills.,maj
Birds fly over sanctuaries.,birds fly over sanctuaries.,maj
Small songbirds have necks.,small songbirds have necks.,maj
Birds feed in water.,birds feed in water.,maj
Birds dip their bills and then tip their heads back and swallow.,birds dip their bills and then tip their heads back and swallow.,maj
Blackbirds have diets.,blackbirds have diets.,maj
Owls feed on small rodents.,owls feed on small rodents.,maj
Flightless birds live in regions.,flightless birds live in regions.,maj
Birds eat moths.,birds eat moths.,maj
Seabirds nest in large colonies in cliffs or other isolated places.,seabirds nest in large colonies in cliffs or other isolated places.,maj
Owls have moveable flaps.,owls have moveable flaps.,maj
Black lemurs eat fruit.,black lemurs eat fruit.,maj
Eagles have eye sight.,eagles have eye sight.,maj
Hawks eat rodents.,hawks eat rodents.,maj
Birds raise wings.,birds raise wings.,maj
Owls reach maturity.,owls reach maturity.,maj
Birds use keen senses.,birds use keen senses.,maj
Pigeons feed their young shortly after they themselves have eaten and drunk.,pigeons feed their young shortly after they themselves have eaten and drunk.,maj
Albatrosses have narrow wings.,albatrosses have narrow wings.,maj
Ducks lose wing feathers.,ducks lose wing feathers.,maj
Birds have senses.,birds have senses.,maj
Eagles have brown feathers.,eagles have brown feathers.,maj
Swans eat foliage.,swans eat foliage.,maj
Owls require habitats.,owls require habitats.,maj
Hawks live in nests.,hawks live in nests.,maj
Ospreys have coloration.,ospreys have coloration.,maj
Hummingbirds live in the south america.,hummingbirds live in the south america.,maj
American birds have tails.,american birds have tails.,maj
Birds have single fovea.,birds have single fovea.,maj
Guinea fowl feeds on worms.,guinea fowl feeds on worms.,maj
Birds have distinctive crests.,birds have distinctive crests.,maj
Birds have eight air sacs.,birds have eight air sacs.,maj
Chickens carry genes.,chickens carry genes.,maj
Ducks live in streams.,ducks live in streams.,maj
Sparrows live for years.,sparrows live for years.,maj
Western meadowlarks have diets.,western meadowlarks have diets.,maj
Lorikeets have long taper tails.,lorikeets have long taper tails.,maj
Birds steal food.,birds steal food.,maj
Birds produce sound.,birds produce sound.,maj
Songbird eggs have a pattern or a color that blends in with the nest.,songbird eggs have a pattern or a color that blends in with the nest.,maj
Hawks eat squirrels.,hawks eat squirrels.,maj
Parrots grow feathers.,parrots grow feathers.,maj
Pigeons mate for life.,pigeons mate for life.,maj
Birds depend on trees.,birds depend on trees.,maj
Birds have glossy green heads.,birds have glossy green heads.,maj
Birds consume berries.,birds consume berries.,maj
Peacocks have sharp beaks.,peacocks have sharp beaks.,maj
Duckweeds grow in water.,duckweeds grow in water.,maj
Birds have night vision.,birds have night vision.,maj
Seabird species killed by longline vessels are active during the day.,seabird species killed by longline vessels are active during the day.,maj
Albatrosses have toes.,albatrosses have toes.,maj
Diarrhea leads to dehydration.,diarrhea leads to dehydration.,maj
Birds have flight.,birds have flight.,maj
Ducks live in water.,ducks live in water.,maj
Lorikeets feed on pollen.,lorikeets feed on pollen.,maj
Toucans have black feathers.,toucans have black feathers.,maj
Lemurs have metabolism.,lemurs have metabolism.,maj
Pelicans has-part wings.,pelicans has-part wings.,maj
Birds prey on small animals.,birds prey on small animals.,maj
Birds have common ancestors.,birds have common ancestors.,maj
Diarrhea is spread through the water supply in areas where hygiene and sanitation are lacking.,diarrhea is spread through the water supply in areas where hygiene and sanitation are lacking.,maj
Birds feed on seeds.,birds feed on seeds.,maj
Lemurs live in groups.,lemurs live in groups.,maj
Parrots have thick.,"parrots have thick, hooked bills, and  have long tails.",maj
Small birds prefer water near cover.,small birds prefer water near cover.,maj
Birds live in environments.,birds live in environments.,maj
Sparrows have bills.,sparrows have bills.,maj
Owls are nocturnal and hunt for food at night.,owls are nocturnal and hunt for food at night.,maj
Eurasian eagles have flight.,eurasian eagles have flight.,maj
Birds evolve from theropods.,birds evolve from theropods.,maj
Song birds have a limited sense of smell.,song birds have a limited sense of smell.,maj
Ostriches have life.,ostriches have life.,maj
Owls reach sexual maturity.,owls reach sexual maturity.,maj
Hummingbirds raise two broods each breeding season.,hummingbirds raise two broods each breeding season.,maj
Woodpeckers prefer habitats.,woodpeckers prefer habitats.,maj
Swans eat aquatic vegetation.,swans eat aquatic vegetation.,maj
Birds have songs.,birds have songs.,maj
Owls have golden claws.,owls have golden claws.,maj
Parrots eat fruit.,"parrots eat fruit, flowers, buds, nuts, seeds, and some small creatures such as insects.",maj
Birds have little or no sense of smell.,birds have little or no sense of smell.,maj
Puffins dive into water.,puffins dive into water.,maj
Birds have swell throats.,birds have swell throats.,maj
Birds eat fruit.,birds eat fruit.,maj
Birds have thin tendons.,birds have thin tendons.,maj
Barn owls feed on rodents.,barn owls feed on rodents.,maj
Omnivorous birds eat food.,omnivorous birds eat food.,maj
Albatrosses have heads.,albatrosses have heads.,maj
Birds play in flight.,birds play in flight.,maj
Hawks sit on nests.,hawks sit on nests.,maj
Herbivorous birds have necks.,herbivorous birds have necks.,maj
Marine birds have salt glands.,marine birds have salt glands.,maj
Hummingbird food contains red dye.,hummingbird food contains red dye.,maj
Kingfishers have predators.,kingfishers have predators.,maj
Birds feed on slugs.,birds feed on slugs.,maj
Domestic pigeons mate for life.,domestic pigeons mate for life.,maj
Mouse lemurs feed on diets.,mouse lemurs feed on diets.,maj
Birds make sounds because they are genetically designed to do so.,birds make sounds because they are genetically designed to do so.,maj
Ospreys seek prey.,ospreys seek prey.,maj
Ospreys live in same places.,ospreys live in same places.,maj
Birds eat beetles.,birds eat beetles.,maj
Owls resemble owls.,owls resemble owls.,maj
Ducks have organs.,ducks have organs.,maj
Shorebirds drink seawater.,shorebirds drink seawater.,maj
Birds have life.,birds have life.,maj
Robins eat seeds.,robins eat seeds.,maj
Birds eat seeds.,birds eat seeds.,maj
Birds live in africa.,birds live in africa.,maj
Mallards nest on the ground.,mallards nest on the ground.,maj
Birds lose feathers.,birds lose feathers.,maj
Birds eat grain.,birds eat grain.,maj
Birds have three toes that face forward and one that faces the other way.,birds have three toes that face forward and one that faces the other way.,maj
Large birds use keen senses.,large birds use keen senses.,maj
Owls wait for prey.,owls wait for prey.,maj
Birds appear in skies.,birds appear in skies.,maj
Migrating birds are insectivorous and use tree plantings for cover.,"migrating birds are insectivorous and use tree plantings for cover, nesting and feeding areas.",maj
Birds live on seeds.,birds live on seeds.,maj
Barn owls rely on rodents.,barn owls rely on rodents.,maj
Falcons has-part legs.,falcons has-part legs.,maj
Great herons feed on insects.,great herons feed on insects.,maj
Birds have hearts.,birds have hearts.,maj
Hawks has-part legs.,hawks has-part legs.,maj
Waterfowls eat diets.,waterfowls eat diets.,maj
Carnivorous birds feed diets.,carnivorous birds feed diets.,maj
Hummingbirds live in hemispheres.,hummingbirds live in hemispheres.,maj
Pigeons live in colonies.,pigeons live in colonies.,maj
Parrots have long tails.,parrots have long tails.,maj
Parrots digest food.,parrots digest food.,maj
Jackdaws feed on insects.,jackdaws feed on insects.,maj
Owls live in habitats.,owls live in habitats.,maj
Vultures eat berries.,vultures eat berries.,maj
Parrots sit on trees.,parrots sit on trees.,maj
Shorebirds spend the winter in the warmth of the tropics and subtropics.,shorebirds spend the winter in the warmth of the tropics and subtropics.,maj
Birds enter water.,birds enter water.,maj
Ducks breed near aquatic habitats such as wetlands.,ducks breed near aquatic habitats such as wetlands.,maj
Goose barnacles eat shrimp.,goose barnacles eat shrimp.,maj
Thrushes have wings.,thrushes have wings.,maj
Hummingbirds spread wings.,hummingbirds spread wings.,maj
Owls like to eat mice and rats.,owls like to eat mice and rats.,maj
Hairy woodpeckers inhabit forest woodlands.,hairy woodpeckers inhabit forest woodlands.,maj
Birds share water.,birds share water.,maj
Mallard ducks have light brown color.,mallard ducks have light brown color.,maj
Birds have ancestors.,birds have ancestors.,maj
Birds can fly .,"birds can fly , some swim , and some do both.",maj
Hawks eat snakes.,hawks eat snakes.,maj
Eagles use sharp claws.,eagles use sharp claws.,maj
Peacocks have plumages.,peacocks have plumages.,maj
Birds live in countries.,birds live in countries.,maj
Cassowaries have beaks.,cassowaries have beaks.,maj
Peacocks have feathers.,peacocks have feathers.,maj
Small birds have claws.,small birds have claws.,maj
Ducks feed in ponds.,ducks feed in ponds.,maj
Birds moult by replacing a few feathers at a time.,birds moult by replacing a few feathers at a time.,maj
Penguins live on continents.,penguins live on continents.,maj
Eagles eat mammals.,eagles eat mammals.,maj
Macaroni penguins have natural predators.,macaroni penguins have natural predators.,maj
Flamingos have flight feathers.,flamingos have flight feathers.,maj
Sea birds drink water.,sea birds drink water.,maj
Birds live in groups.,birds live in groups.,maj
Birds possess genes.,birds possess genes.,maj
Birds are monogamous.,"birds are monogamous, having only one mate per breeding season.",maj
Howler monkeys feed on immature leaves.,howler monkeys feed on immature leaves.,maj
Ducks have diets.,ducks have diets.,maj
Woodpeckers eat termites.,woodpeckers eat termites.,maj
Owls are active at dusk or at night.,owls are active at dusk or at night.,maj
Shorebirds possess eggs.,shorebirds possess eggs.,maj
Ostriches have bones.,ostriches have bones.,maj
Pelicans eat catfish.,pelicans eat catfishes.,maj
Predatory birds have eyesights.,predatory birds have eyesights.,maj
Small birds have strong claws.,small birds have strong claws.,maj
Birds stand on feet.,birds stand on feet.,maj
Bark owls eat mice.,bark owls eat mice.,maj
Large birds have plumages.,large birds have plumages.,maj
Birds have long tongues.,birds have long tongues.,maj
Sparrows live for several years.,sparrows live for several years.,maj
Toucans have feathers.,toucans have feathers.,maj
Golden lemurs have fur.,golden lemurs have fur.,maj
Birds rely on instinct when they migrate.,birds rely on instinct when they migrate.,maj
Parrots have feathers.,parrots have feathers.,maj
Penguins has-part glands.,penguins has-part glands.,maj
Pigeons fly over lakes.,pigeons fly over lakes.,maj
Hawks live in canyons.,hawks live in canyons.,maj
Songbirds incubate their eggs for about two weeks.,songbirds incubate their eggs for about two weeks.,maj
Owls kill prey.,owls kill prey.,maj
Owls have senses.,owls have senses.,maj
Owls have very similar bodies.,owls have very similar bodies.,maj
Wild birds have green plumages.,wild birds have green plumages.,maj
Owls sit in vegetation.,owls sit in vegetation.,maj
Macaws feed on fruit.,macaws feed on fruit.,maj
Penguins possess feathers.,penguins possess feathers.,maj
Birds have large muscles.,birds have large muscles.,maj
Hummingbirds require food.,hummingbirds require food.,maj
Birds maintain weight.,birds maintain weight.,maj
Ducks feed on aquatic plants.,ducks feed on aquatic plants.,maj
Bald eagles eat dead animals.,bald eagles eat dead animals.,maj
Owls stand on legs.,owls stand on legs.,maj
Shorebirds consume mollusks.,shorebirds consume mollusks.,maj
Parakeets eat seeds.,parakeets eat seeds.,maj
Woodpeckers have short legs.,woodpeckers have short legs.,maj
Eagles live in nests.,eagles live in nests.,maj
Birds are omnivores.,birds are omnivores.,maj
Owls have claws.,owls have claws.,maj
Ducks have a wide flat beak adapted for dredging.,ducks have a wide flat beak adapted for dredging.,maj
Birds live in regions.,birds live in regions.,maj
Lorikeets have tongues.,lorikeets have tongues.,maj
Parrots fly over ponds.,parrots fly over ponds.,maj
Ospreys reach maturity.,ospreys reach maturity.,maj
Hummingbirds require nectar.,hummingbirds require nectar.,maj
Goose barnacles eat juvenile shrimp.,goose barnacles eat juvenile shrimp.,maj
Hummingbirds have legs.,hummingbirds have legs.,maj
Birds possess food.,birds possess food.,maj
Parrots eat a diet that contains nuts.,"parrots eat a diet that contains nuts, flowers, fruit, buds, seeds and insects.",maj
Owls has-part bones.,owls has-part bones.,maj
Howler monkeys have prehensile tails.,howler monkeys have prehensile tails.,maj
Sparrows feed on seeds.,sparrows feed on seeds.,maj
Chickens live in environments.,chickens live in environments.,maj
Birds have only one ovary and one oviduct.,birds have only one ovary and one oviduct.,maj
Pelicans eat fish.,pelicans eat fish.,maj
Pigeons are located in nests.,pigeons are located in nests.,maj
Birds use tongues.,birds use tongues.,maj
Songbirds eat seeds.,songbirds eat seeds.,maj
Birds sit in rivers.,birds sit in rivers.,maj
Birds have internal fertilization.,birds have internal fertilization.,maj
Macaws have plumages.,macaws have plumages.,maj
Bald eagles have feet.,bald eagles have feet.,maj
Owls has-part eyes.,owls has-part eyes.,maj
Birds have dark eyes.,birds have dark eyes.,maj
Eagles eat prey.,eagles eat prey.,maj
Penguins cross habitats.,penguins cross habitats.,maj
Seabirds have plumages.,seabirds have plumages.,maj
Falcons fold wings.,falcons fold wings.,maj
Eagles have eyelids.,eagles have eyelids.,maj
Birds adapt to habitats.,birds adapt to habitats.,maj
Penguins eat food.,penguins eat food.,maj
Birds are beings which are capable of flight.,birds are beings which are capable of flight.,maj
Birds descend from reptiles.,birds descend from reptiles.,maj
Hummingbirds grow feathers.,hummingbirds grow feathers.,maj
Owls raise heads.,owls raise heads.,maj
Owls have soft plumage and demonstrate noiseless flight.,owls have soft plumage and demonstrate noiseless flight.,maj
Herons have vertebrae.,herons have vertebrae.,maj
Owls have hearts.,owls have hearts.,maj
Grebes are black and white with little sexual dimorphism.,grebes are black and white with little sexual dimorphism.,maj
Birds lack teeth and have a reduced tail.,birds lack teeth and have a reduced tail.,maj
Downy woodpeckers have feathers.,downy woodpeckers have feathers.,maj
Penguins live in ice caves.,penguins live in ice caves.,maj
Owls live in woodlands.,owls live in woodlands.,maj
Birds fold wings.,birds fold wings.,maj
Birds take flight.,birds take flight.,maj
Ducks are aquatic birds.,ducks are aquatic birds.,maj
African cuckoos have beaks.,african cuckoos have beaks.,maj
Birds molt either once or twice a year.,birds molt either once or twice a year.,maj
Birds have intestines.,birds have intestines.,maj
Woodpeckers have white feathers.,woodpeckers have white feathers.,maj
Birds have blood.,birds have blood.,maj
Predatory birds have good eyesights.,predatory birds have good eyesights.,maj
Birds feed on shoots.,birds feed on shoots.,maj
Owls eat meat.,owls eat meat.,maj
Birds kill insects.,birds kill insects.,maj
Mallard ducks have diets.,mallard ducks have diets.,maj
Birds have short beaks.,birds have short beaks.,maj
Owls have habits.,owls have habits.,maj
Numerous birds eat fruit.,numerous birds eat fruit.,maj
Bald eagles have eyesights.,bald eagles have eyesights.,maj
Songbirds are territorial during the breeding season.,songbirds are territorial during the breeding season.,maj
Migratory birds have salt glands.,migratory birds have salt glands.,maj
Cuckoos lose feathers.,cuckoos lose feathers.,maj
Falcons eat mammals.,falcons eat mammals.,maj
Falcons fly over trees.,falcons fly over trees.,maj
Young birds require proteins.,young birds require proteins.,maj
Penguins are located in antarctica.,penguins are located in antarctica.,maj
Ducks have brown plumages.,ducks have brown plumages.,maj
Eagles have flight feathers.,eagles have flight feathers.,maj
Birds thrive on attention and human interaction.,"birds thrive on attention and human interaction, but wither with neglect.",maj
Owls fly over heads.,owls fly over heads.,maj
Lemurs eat leaves.,lemurs eat leaves.,maj
Falcons have wings.,falcons have wings.,maj
Cuckoos perch in trees.,cuckoos perch in trees.,maj
Bee hummingbirds use feathers.,bee hummingbirds use feathers.,maj
Birds occupy habitats.,birds occupy habitats.,maj
Ospreys have speckle coloration.,ospreys have speckle coloration.,maj
Owls watch birds.,owls watch birds.,maj
Storks have carnivorous diets.,storks have carnivorous diets.,maj
Owls live in forests.,owls live in forests.,maj
Birds live on shores.,birds live on shores.,maj
Ducks exhibit eyes.,ducks exhibit eyes.,maj
Birds are able to fly.,birds are able to fly.,maj
Male ostriches have feathers.,male ostriches have feathers.,maj
Albatrosses feed on fish.,albatrosses feed on fish.,maj
Pigeons eat grain.,pigeons eat grain.,maj
Penguins live in antarctica.,penguins live in antarctica.,maj
Parrots have strong beaks.,parrots have strong beaks.,maj
Owls kill hares.,owls kill hares.,maj
Eagles sit on nests.,eagles sit on nests.,maj
Owls have dark gray and brown marking feathers.,owls have dark gray and brown marking feathers.,maj
Immature birds have eyes.,immature birds have eyes.,maj
Birds sit in trees.,birds sit in trees.,maj
Birds have sharp eyes.,birds have sharp eyes.,maj
Birds sleep at night.,"birds sleep at night, although there are some, like owls that sleep during the day.",maj
Duckweeds grow shades.,duckweeds grow shades.,maj
Owls use their feet only for perching and grasping prey.,owls use their feet only for perching and grasping prey.,maj
Cassowaries eat fruit.,cassowaries eat fruit.,maj
Birds eat nectar.,birds eat nectar.,maj
Hawks have beaks.,hawks have beaks.,maj
Birds fly over grass.,birds fly over grass.,maj
Domestic chickens have natural habitats.,domestic chickens have natural habitats.,maj
Ostriches have weight.,ostriches have weight.,maj
Hammerheads feed on stingrays.,hammerheads feed on stingrays.,maj
Birds live in woodlands.,birds live in woodlands.,maj
Wade birds depend on habitats.,wade birds depend on habitats.,maj
Black ducks have brown plumages.,black ducks have brown plumages.,maj
Ospreys are migratory birds that breed in the north and migrate south for the winter.,ospreys are migratory birds that breed in the north and migrate south for the winter.,maj
Penguins return to colonies.,penguins return to colonies.,maj
Birds use powerful legs.,birds use powerful legs.,maj
Young storks have legs.,young storks have legs.,maj
Birds have necks.,birds have necks.,maj
Birds have color.,birds have color.,maj
Falcons live in regions.,falcons live in regions.,maj
Albatrosses dive into water.,albatrosses dive into water.,maj
Birds have plumes.,birds have plumes.,maj
Lemurs have legs.,lemurs have legs.,maj
Storks eat small fish.,storks eat small fish.,maj
Hummingbirds have tongues.,hummingbirds have tongues.,maj
Parrots have diseases.,parrots have diseases.,maj
Birds fly over ground.,birds fly over ground.,maj
Birds are inside nests.,birds are inside nests.,maj
Birds have gray feathers.,birds have gray feathers.,maj
Birds use eyes.,birds use eyes.,maj
Owls reach sexual maturity and are ready to reproduce about a year after they hatch.,owls reach sexual maturity and are ready to reproduce about a year after they hatch.,maj
Hummingbirds have beaks.,hummingbirds have beaks.,maj
Male ostriches have black feathers.,male ostriches have black feathers.,maj
Young birds have eyes.,young birds have eyes.,maj
Penguins has-part wings.,penguins has-part wings.,maj
Immature birds have undersides.,immature birds have undersides.,maj
Barn owls live out of the weather in barns and old empty buildings.,barn owls live out of the weather in barns and old empty buildings.,maj
Penguins are monogamous.,penguins are monogamous.,maj
Birds fly over vegetation.,birds fly over vegetation.,maj
Birds stand on legs.,birds stand on legs.,maj
Penguins has-part eyes.,penguins has-part eyes.,maj
Hairy woodpeckers inhabit woodlands.,hairy woodpeckers inhabit woodlands.,maj
Young birds have flesh.,young birds have flesh.,maj
Young birds leave the nest well before they are able to fly.,young birds leave the nest well before they are able to fly.,maj
Diarrhea causes dehydration.,diarrhea causes dehydration.,maj
Fowl feeds on worms.,fowl feeds on worms.,maj
Penguins give birth to penguins.,penguins give birth to penguins.,maj
Sparrows make nests.,sparrows make nests.,maj
Birds feed on fish.,birds feed on fish.,maj
Lemurs has-part noses.,lemurs has-part noses.,maj
Birds make eggs.,birds make eggs.,maj
Owls make nests.,owls make nests.,maj
Birds prey on domestic animals.,birds prey on domestic animals.,maj
Young birds eat insects.,young birds eat insects.,maj
Amazon parrots have average lifespans.,amazon parrots have average lifespans.,maj
Birds have bright beaks.,birds have bright beaks.,maj
Elephant birds eat baobab fruit.,elephant birds eat baobab fruit.,maj
Eagles have talons.,eagles have talons.,maj
Hummerbird bones are porous.,"hummerbird bones are porous, but some, like their wing and leg bones, are hollow.",maj
Bald eagles have eye sight.,bald eagles have eye sight.,maj
Black swans lose feathers.,black swans lose feathers.,maj
Hummingbirds have short legs.,hummingbirds have short legs.,maj
Falcons have external anatomies.,falcons have external anatomies.,maj
Woodpeckers feed on insects.,woodpeckers feed on insects.,maj
Pelicans feed in water.,pelicans feed in water.,maj
Parrots has-part toes.,parrots has-part toes.,maj
Birds has-part legs.,birds has-part legs.,maj
Birds nest in cavities.,birds nest in cavities.,maj
Owls sit in trees.,owls sit in trees.,maj
Penguins stand in snow.,penguins stand in snow.,maj
Birds have powerful beaks.,birds have powerful beaks.,maj
Owls have feathers.,owls have feathers.,maj
Falcons live in nature.,falcons live in nature.,maj
Birds eat berries.,birds eat berries.,maj
Hammerhead sharks feed on fish.,hammerhead sharks feed on fish.,maj
Chickens carry bacteria.,chickens carry bacteria.,maj
Seabirds feed on fish.,seabirds feed on fish.,maj
Birds have brains.,birds have brains.,maj
Birds have feet.,birds have feet.,maj
Domestic pigeons reach sexual maturity.,domestic pigeons reach sexual maturity.,maj
Diarrhea causes rapid dehydration.,diarrhea causes rapid dehydration.,maj
Birds depend on nests.,birds depend on nests.,maj
Hummingbirds shed feathers.,hummingbirds shed feathers.,maj
Birds possess bones.,birds possess bones.,maj
Birds have enzymes.,birds have enzymes.,maj
Waterfowls eat seeds.,waterfowls eat seeds.,maj
Birds have watery eyes.,birds have watery eyes.,maj
Birds carry worm eggs in their defecations.,birds carry worm eggs in their defecations.,maj
Hummingbirds have brains.,hummingbirds have brains.,maj
Snowy owls have yellow eyes.,snowy owls have yellow eyes.,maj
Penguins return to breed colonies.,penguins return to breed colonies.,maj
Birds adapt to arid habitats.,birds adapt to arid habitats.,maj
Penguins return to shores.,penguins return to shores.,maj
Ostriches have feathers.,ostriches have feathers.,maj
Penguins have backs.,penguins have backs.,maj
Ducks have green plumages.,ducks have green plumages.,maj
Birds possess lungs.,birds possess lungs.,maj
Peregrine falcons have keen vision.,peregrine falcons have keen vision.,maj
Hairy woodpeckers have wings.,hairy woodpeckers have wings.,maj
Birds extend legs.,birds extend legs.,maj
Birds catch food.,birds catch food.,maj
Pigeons feed on seeds.,pigeons feed on seeds.,maj
Eagles live in regions.,eagles live in regions.,maj
Penguins stand on icebergs.,penguins stand on icebergs.,maj
Woodpeckers eat larvae.,woodpeckers eat larvae.,maj
Swans feed on algae and water weeds.,swans feed on algae and water weeds.,maj
Swans have round heads.,swans have round heads.,maj
Ducks feed in streams.,ducks feed in streams.,maj
Birds have glossy black plumages.,birds have glossy black plumages.,maj
Eagles have eyesights.,eagles have eyesights.,maj
Birds walk on feet.,birds walk on feet.,maj
Living birds can fly and their bodies are highly adapted for efficiency in flight.,living birds can fly and their bodies are highly adapted for efficiency in flight.,maj
Birds have beautiful feathers.,birds have beautiful feathers.,maj
Owls have very similar bodies .,owls have very similar bodies .,maj
